N         Time(s)           OB_avg          OB_max       OB_min
2450      0.00682531        3000025.00      3000025      3000025         
2460      0.00697303        3024570.00      3024570      3024570         
2470      0.00688559        3049215.00      3049215      3049215         
2480      0.00698051        3073960.00      3073960      3073960         
2490      0.00705392        3098805.00      3098805      3098805         
2500      0.00705836        3123750.00      3123750      3123750         
2510      0.00720376        3148795.00      3148795      3148795         
2520      0.00722424        3173940.00      3173940      3173940         
2530      0.00724715        3199185.00      3199185      3199185         
2540      0.00729669        3224530.00      3224530      3224530         
2550      0.00745070        3249975.00      3249975      3249975         
2560      0.00738980        3275520.00      3275520      3275520         
2570      0.00751993        3301165.00      3301165      3301165         
2580      0.00763247        3326910.00      3326910      3326910         
2590      0.00760809        3352755.00      3352755      3352755         
2600      0.00765749        3378700.00      3378700      3378700         
2610      0.00773301        3404745.00      3404745      3404745         
2620      0.00784046        3430890.00      3430890      3430890         
2630      0.00776456        3457135.00      3457135      3457135         
2640      0.00800252        3483480.00      3483480      3483480         
2650      0.00800270        3509925.00      3509925      3509925         
2660      0.00808045        3536470.00      3536470      3536470         
2670      0.00806550        3563115.00      3563115      3563115         
2680      0.00824268        3589860.00      3589860      3589860         
2690      0.00823967        3616705.00      3616705      3616705         
2700      0.00834980        3643650.00      3643650      3643650         
2710      0.00829828        3670695.00      3670695      3670695         
2720      0.00835492        3697840.00      3697840      3697840         
2730      0.00845496        3725085.00      3725085      3725085         
2740      0.00862324        3752430.00      3752430      3752430         
2750      0.00850475        3779875.00      3779875      3779875         
2760      0.00857035        3807420.00      3807420      3807420         
2770      0.00864373        3835065.00      3835065      3835065         
2780      0.00872255        3862810.00      3862810      3862810         
2790      0.00880383        3890655.00      3890655      3890655         
2800      0.00884007        3918600.00      3918600      3918600         
2810      0.00887434        3946645.00      3946645      3946645         
2820      0.00902007        3974790.00      3974790      3974790         
2830      0.00910583        4003035.00      4003035      4003035         
2840      0.00917992        4031380.00      4031380      4031380         
2850      0.00908567        4059825.00      4059825      4059825         
2860      0.00921094        4088370.00      4088370      4088370         
2870      0.00925926        4117015.00      4117015      4117015         
2880      0.00937339        4145760.00      4145760      4145760         
2890      0.00951897        4174605.00      4174605      4174605         
2900      0.00946686        4203550.00      4203550      4203550         
2910      0.00956183        4232595.00      4232595      4232595         
2920      0.00969626        4261740.00      4261740      4261740         
2930      0.00967345        4290985.00      4290985      4290985         
2940      0.00985696        4320330.00      4320330      4320330         
2950      0.00989319        4349775.00      4349775      4349775         
2960      0.00989686        4379320.00      4379320      4379320         
2970      0.00987255        4408965.00      4408965      4408965         
2980      0.01004328        4438710.00      4438710      4438710         
2990      0.01003709        4468555.00      4468555      4468555         
3000      0.01016512        4498500.00      4498500      4498500         
3010      0.01028731        4528545.00      4528545      4528545         
3020      0.01011120        4558690.00      4558690      4558690         
3030      0.01017130        4588935.00      4588935      4588935         
3040      0.01021435        4619280.00      4619280      4619280         
3050      0.01040279        4649725.00      4649725      4649725         
3060      0.01048767        4680270.00      4680270      4680270         
3070      0.01051033        4710915.00      4710915      4710915         
3080      0.01093926        4741660.00      4741660      4741660         
3090      0.01084929        4772505.00      4772505      4772505         
3100      0.01154390        4803450.00      4803450      4803450         
3110      0.01111152        4834495.00      4834495      4834495         
3120      0.01109268        4865640.00      4865640      4865640         
3130      0.01163903        4896885.00      4896885      4896885         
3140      0.01113926        4928230.00      4928230      4928230         
3150      0.01120655        4959675.00      4959675      4959675         
3160      0.01237496        4991220.00      4991220      4991220         
3170      0.01170662        5022865.00      5022865      5022865         
3180      0.01188005        5054610.00      5054610      5054610         
3190      0.01407096        5086455.00      5086455      5086455         
3200      0.01235624        5118400.00      5118400      5118400         
3210      0.01205418        5150445.00      5150445      5150445         
3220      0.01223368        5182590.00      5182590      5182590         
3230      0.01288124        5214835.00      5214835      5214835         
3240      0.01340540        5247180.00      5247180      5247180         
3250      0.01248527        5279625.00      5279625      5279625         
3260      0.01243575        5312170.00      5312170      5312170         
3270      0.01237857        5344815.00      5344815      5344815         
3280      0.01242598        5377560.00      5377560      5377560         
3290      0.01244987        5410405.00      5410405      5410405         
3300      0.01260891        5443350.00      5443350      5443350         
3310      0.01260336        5476395.00      5476395      5476395         
3320      0.01278720        5509540.00      5509540      5509540         
3330      0.01272396        5542785.00      5542785      5542785         
3340      0.01291409        5576130.00      5576130      5576130         
3350      0.01288813        5609575.00      5609575      5609575         
3360      0.01298292        5643120.00      5643120      5643120         
3370      0.01299841        5676765.00      5676765      5676765         
3380      0.01307025        5710510.00      5710510      5710510         
3390      0.01317921        5744355.00      5744355      5744355         
3400      0.01315644        5778300.00      5778300      5778300         
3410      0.01324535        5812345.00      5812345      5812345         
3420      0.01364891        5846490.00      5846490      5846490         
3430      0.01339496        5880735.00      5880735      5880735         
3440      0.01349550        5915080.00      5915080      5915080         
3450      0.01365895        5949525.00      5949525      5949525         
3460      0.01386607        5984070.00      5984070      5984070         
3470      0.01374463        6018715.00      6018715      6018715         
3480      0.01393340        6053460.00      6053460      6053460         
3490      0.01401436        6088305.00      6088305      6088305         
3500      0.01413793        6123250.00      6123250      6123250         
3510      0.01423708        6158295.00      6158295      6158295         
3520      0.01432638        6193440.00      6193440      6193440         
3530      0.01438907        6228685.00      6228685      6228685         
3540      0.01454449        6264030.00      6264030      6264030         
3550      0.01432073        6299475.00      6299475      6299475         
3560      0.01466531        6335020.00      6335020      6335020         
3570      0.01463510        6370665.00      6370665      6370665         
3580      0.01476975        6406410.00      6406410      6406410         
3590      0.01488395        6442255.00      6442255      6442255         
3600      0.01481589        6478200.00      6478200      6478200         
3610      0.01507601        6514245.00      6514245      6514245         
3620      0.01506279        6550390.00      6550390      6550390         
3630      0.01522991        6586635.00      6586635      6586635         
3640      0.01533509        6622980.00      6622980      6622980         
3650      0.01553041        6659425.00      6659425      6659425         
3660      0.01556208        6695970.00      6695970      6695970         
3670      0.01541842        6732615.00      6732615      6732615         
3680      0.01565451        6769360.00      6769360      6769360         
3690      0.01572777        6806205.00      6806205      6806205         
3700      0.01579077        6843150.00      6843150      6843150         
3710      0.01582198        6880195.00      6880195      6880195         
3720      0.01605356        6917340.00      6917340      6917340         
3730      0.01630966        6954585.00      6954585      6954585         
3740      0.01618127        6991930.00      6991930      6991930         
3750      0.01627487        7029375.00      7029375      7029375         
3760      0.01629274        7066920.00      7066920      7066920         
3770      0.01613803        7104565.00      7104565      7104565         
3780      0.01645286        7142310.00      7142310      7142310         
3790      0.01663945        7180155.00      7180155      7180155         
3800      0.01672342        7218100.00      7218100      7218100         
3810      0.01694702        7256145.00      7256145      7256145         
3820      0.01693190        7294290.00      7294290      7294290         
3830      0.01689324        7332535.00      7332535      7332535         
3840      0.01728073        7370880.00      7370880      7370880         
3850      0.01688793        7409325.00      7409325      7409325         
3860      0.01701242        7447870.00      7447870      7447870         
3870      0.01721167        7486515.00      7486515      7486515         
3880      0.01746292        7525260.00      7525260      7525260         
3890      0.01784021        7564105.00      7564105      7564105         
3900      0.01992413        7603050.00      7603050      7603050         
3910      0.02117395        7642095.00      7642095      7642095         
3920      0.02006640        7681240.00      7681240      7681240         
3930      0.02176424        7720485.00      7720485      7720485         
3940      0.02223667        7759830.00      7759830      7759830         
3950      0.02044934        7799275.00      7799275      7799275         
3960      0.02403190        7838820.00      7838820      7838820         
3970      0.02057029        7878465.00      7878465      7878465         
3980      0.02178957        7918210.00      7918210      7918210         
3990      0.01983653        7958055.00      7958055      7958055         
4000      0.02069978        7998000.00      7998000      7998000         
4010      0.02111782        8038045.00      8038045      8038045         
4020      0.02065265        8078190.00      8078190      8078190         
4030      0.01981221        8118435.00      8118435      8118435         
4040      0.01976643        8158780.00      8158780      8158780         
4050      0.02089618        8199225.00      8199225      8199225         
4060      0.02045066        8239770.00      8239770      8239770         
4070      0.02016553        8280415.00      8280415      8280415         
4080      0.02002874        8321160.00      8321160      8321160         
4090      0.02124166        8362005.00      8362005      8362005         
4100      0.02069146        8402950.00      8402950      8402950         
4110      0.02049523        8443995.00      8443995      8443995         
4120      0.02206600        8485140.00      8485140      8485140         
