N         Time(s)           OB_avg          OB_max       OB_min
70900     0.00785508        1373975.79      1544998      1312190         
71200     0.00783215        1384167.15      1584707      1321258         
71500     0.00809394        1379747.23      1483988      1291430         
71800     0.00787805        1406390.81      1583429      1321330         
72100     0.00801501        1411857.31      1566891      1315250         
72400     0.00791897        1416549.60      1653377      1335268         
72700     0.00810663        1418801.92      1590559      1353307         
73000     0.00818291        1426289.98      1570832      1308333         
73300     0.00886847        1436990.07      1553557      1356403         
73600     0.00843616        1438561.37      1597272      1356951         
73900     0.00846004        1445977.98      1589536      1358761         
74200     0.00864996        1452863.07      1591423      1374654         
74500     0.00888419        1462035.39      1591284      1362977         
74800     0.00862920        1468345.53      1635850      1373274         
75100     0.00852976        1469185.12      1649835      1384105         
75400     0.00847945        1472180.91      1601373      1388457         
75700     0.00870478        1490217.24      1652736      1393043         
76000     0.00859850        1498104.26      1612766      1420005         
76300     0.00860666        1501277.35      1619932      1420776         
76600     0.00869235        1509221.35      1685005      1413324         
76900     0.00865383        1518376.02      1730224      1423652         
77200     0.00876710        1517872.43      1688336      1412838         
77500     0.00889761        1533189.19      1731879      1433679         
77800     0.00879253        1526051.90      1649984      1444504         
78100     0.00888799        1545309.28      1744803      1450760         
78400     0.00897529        1538875.81      1687081      1444670         
78700     0.00913372        1556476.91      1705177      1469551         
79000     0.00941002        1566391.22      1714720      1445548         
79300     0.00967666        1565220.43      1711375      1455821         
79600     0.00910566        1566901.27      1713135      1466861         
79900     0.00931778        1574830.72      1742543      1479705         
80200     0.00928841        1579357.85      1705062      1498510         
80500     0.00935161        1583521.10      1782468      1506931         
80800     0.00929178        1590509.80      1768244      1509483         
81100     0.00923473        1600548.52      1771996      1502046         
81400     0.00921325        1606675.96      1771418      1528445         
81700     0.00930639        1623837.64      1829020      1516108         
82000     0.00943963        1623876.14      1771195      1539295         
82300     0.00955940        1633042.70      1894390      1545050         
82600     0.00958702        1638656.13      1768789      1545745         
82900     0.00963497        1641149.83      1796913      1539187         
83200     0.00964228        1651866.08      1831267      1558873         
83500     0.00974859        1657634.48      1858546      1565329         
83800     0.00942514        1660161.70      1831198      1567779         
84100     0.00953728        1669530.74      1839476      1572649         
84400     0.00959356        1661294.18      1791798      1550948         
84700     0.00966973        1679489.98      1832859      1562674         
85000     0.01020839        1689992.16      1838864      1582799         
85300     0.00963065        1702198.19      1939770      1604187         
85600     0.01002354        1708944.93      1928825      1600558         
85900     0.00981146        1711967.18      1863105      1611930         
86200     0.00985810        1720395.09      1983657      1604193         
86500     0.00980664        1719151.92      1904089      1613199         
86800     0.00989734        1724975.34      1876663      1604721         
87100     0.00999981        1748593.11      1983512      1627096         
87400     0.01069330        1740343.26      1894851      1644744         
87700     0.01011955        1749140.19      1946387      1650039         
88000     0.01062049        1757516.58      1979442      1639472         
88300     0.01041174        1751428.42      1985733      1651041         
88600     0.01015422        1766331.03      1923955      1656295         
88900     0.01016145        1786335.40      1967706      1674181         
89200     0.01034060        1784389.73      1932484      1677638         
89500     0.01013101        1787007.10      1957174      1688516         
89800     0.01010209        1789035.39      2009956      1647882         
90100     0.01024381        1795191.97      1982578      1671976         
90400     0.01037243        1808539.53      1951597      1715221         
90700     0.01028274        1814644.17      2013013      1713430         
91000     0.01038448        1818989.75      2057387      1717242         
91300     0.01049516        1832012.10      2062136      1723114         
91600     0.01056623        1820227.26      1976308      1720179         
91900     0.01046044        1837451.28      1982080      1729135         
92200     0.01027549        1833198.81      2049254      1724795         
92500     0.01051259        1846189.53      2077490      1736412         
92800     0.01052070        1849867.16      1997723      1742307         
93100     0.01063025        1874406.60      2059803      1750439         
93400     0.01080075        1869525.10      2002619      1769884         
93700     0.01093352        1876083.93      2111226      1760623         
94000     0.01087364        1894110.80      2073633      1773520         
94300     0.01071347        1895211.78      2192626      1781839         
94600     0.01082457        1909726.35      2194337      1771085         
94900     0.01125509        1906007.10      2081013      1802313         
95200     0.01093129        1900868.02      2026055      1802852         
95500     0.01107924        1914006.79      2102662      1808837         
95800     0.01161178        1916029.27      2153453      1801464         
96100     0.01102326        1926797.49      2128237      1819642         
96400     0.01099365        1949205.81      2177226      1816986         
96700     0.01132280        1935340.31      2065264      1831323         
97000     0.01118673        1955590.72      2159637      1839913         
97300     0.01128502        1958742.01      2107321      1843195         
97600     0.01149011        1965635.17      2131746      1859569         
97900     0.01122602        1971568.03      2180772      1859873         
98200     0.01123700        1983804.27      2142429      1872325         
98500     0.01148310        1992509.62      2306317      1874031         
98800     0.01142872        1992948.57      2256300      1874468         
99100     0.01137518        1996013.89      2206980      1868822         
99400     0.01128666        2010368.82      2141030      1900325         
99700     0.01135662        2011957.19      2216998      1902263         
100000    0.01136245        2009872.66      2258391      1890051         
